Servant,id,Avatar,avp,AvatarMax,Nick,R,Class,Attr.,C1,C2,C3,C4,C5,HP,ATK,Availability,asc11,asc11n,asc12,asc12n,asc13,asc13n,asc21,,asc22,,asc23,,asc24,,asc31,,asc32,,asc33,,asc41,,asc42,,asc43,,asc44,,skill11,,skill12,,skill13,,skill21,,skill22,,skill23,,skill24,,skill31,,skill32,,skill33,,skill41,,skill42,,skill43,,skill44,,skill51,,skill52,,skill53,,skill61,,skill62,,skill63,,skill64,,skill71,,skill72,,skill81,,skill82,,campaign1,campaign2,campaign3
Murasaki Shikibu,237,https://vignette.wikia.nocookie.net/fategrandorder/images/0/06/S237Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e9/MurasakiShikibuFinalIcon.png/revision/latest?cb=20190206151125,Murasaki,5,Caster,Man,B,A,A,Q,Q,12833,11374,Limited,pieceCaster,5,,,,,pieceCaster,12,Page,8,,,,,monumentCaster,5,Grease,6,Lanugo,3,monumentCaster,12,Lanugo,6,Scarab,5,,,blueCaster,5,,,,,blueCaster,12,,,,,,,redCaster,5,,,,,redCaster,12,Grease,3,,,,,goldCaster,5,Grease,6,,,goldCaster,12,Page,5,,,,,Page,10,Bell,6,Bell,18,Mirror,10,Valentine's 2020,,
Murasaki Shikibu [Rider],291,https://vignette.wikia.nocookie.net/fategrandorder/images/9/94/S291Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e7/MurasakiShikibuRiderFinalIcon.png,Summer Shikibu,4,Rider,Man,B,A,A,Q,Q,11880,8730,Limited,pieceRider,4,,,,,pieceRider,10,Bone,18,,,,,monumentRider,4,Stinger,20,Seashell,4,monumentRider,10,Seashell,8,Stake,30,,,blueRider,4,,,,,blueRider,10,,,,,,,redRider,4,,,,,redRider,10,Stinger,10,,,,,goldRider,4,Stinger,20,,,goldRider,10,Bone,12,,,,,Bone,24,Arrowhead,5,Arrowhead,15,Mirror,8,Servant Summer Camp,Servant Summer Camp Re-Run,
Musashibou Benkei,19,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2b/Mashibouicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/8a/MusashibouBenkeiFinalIcon.png/revision/latest?cb=20180214130201,Benkei,2,Lancer,Man,B,A,A,Q,Q,9149,5801,Permanent,pieceLancer,3,,,,,pieceLancer,6,Bone,11,,,,,monumentLancer,3,Seed,6,Baby,3,monumentLancer,6,Baby,5,Dust,12,,,blueLancer,3,,,,,blueLancer,6,,,,,,,redLancer,3,,,,,redLancer,6,Seed,3,,,,,goldLancer,3,Seed,6,,,goldLancer,6,Bone,8,,,,,Bone,15,Dust,6,Dust,42,,,,,
Mysterious Heroine X,86,https://vignette.wikia.nocookie.net/fategrandorder/images/d/df/Heroinexicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c8/MHXFinalIcon.png/revision/latest?cb=20180211152821,MHX,5,Assassin,Star,B,A,A,Q,Q,12696,11761,Limited,pieceAssassin,5,,,,,pieceAssassin,12,Fang,18,,,,,monumentAssassin,5,Feather,8,Scale,2,monumentAssassin,12,Scale,4,Proof,36,,,blueAssassin,5,,,,,blueAssassin,12,,,,,,,redAssassin,5,,,,,redAssassin,12,Feather,4,,,,,goldAssassin,5,Feather,8,,,goldAssassin,12,Fang,12,,,,,Fang,24,Dust,12,Dust,36,Crystal,24,Saber Wars 2 Pre-Campaign,Saber Wars 2 Re-Run,
Mysterious Heroine X [Alter],155,https://vignette.wikia.nocookie.net/fategrandorder/images/6/66/MHX%28Alter%29icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/37/MHXAlterFinalIcon.png/revision/latest?cb=20180211153734,MHXA,5,Berserker,Star,B,B,A,Q,Q,14175,11113,Limited,pieceBerserker,5,,,,,pieceBerserker,12,Fang,18,,,,,monumentBerserker,5,Medal,20,Lanugo,3,monumentBerserker,12,Lanugo,6,Scale,5,,,blueBerserker,5,,,,,blueBerserker,12,,,,,,,redBerserker,5,,,,,redBerserker,12,Medal,10,,,,,goldBerserker,5,Medal,20,,,goldBerserker,12,Fang,12,,,,,Fang,24,Grease,4,Grease,11,Gallstone,10,Saber Wars 2,Grail Live,
Mysterious Heroine XX,222,https://vignette.wikia.nocookie.net/fategrandorder/images/7/70/S222Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2e/MHXXFinalIcon.png/revision/latest?cb=20180819141201,MHXX,4,Foreigner,Star,B,B,A,A,Q,11250,9751,Limited,Fang,8,Gear,8,,,Grease,8,Medal,8,,,,,Tearstone,8,Ring,8,,,Scale,8,Lanugo,8,,,,,Proof,8,,,,,Fang,8,,,,,,,Gear,10,,,,,Medal,10,,,,,,,Steel,10,,,,,Ring,12,,,,,,,Lanugo,12,,,Scale,12,,,Servant Summer Festival Re-Run,Imaginary Scramble Pre-Campaign,
Mysterious Idol X [Alter],308,https://static.wikia.nocookie.net/fategrandorder/images/0/05/S308Icon.png/,,https://static.wikia.nocookie.net/fategrandorder/images/8/87/S308A4Icon.png,Idol Ecchan,4,Foreigner,Star,B,B,A,Q,Q,12375,9045,Welfare,Guitar,1,,,,,Guitar,1,,,,,,,Guitar,1,,,,,Guitar,1,,,,,,,Fang,8,,,,,Horseshoe,8,,,,,,,Gear,10,,,,,Horn,10,,,,,,,Steel,10,,,,,Vein,12,,,,,,,Core,12,,,Shard,12,,,Grail Live,,
Nagao Kagetora,252,https://vignette.wikia.nocookie.net/fategrandorder/images/9/91/S252Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a0/NagaoKagetoraFinalIcon.png,Kenshin,4,Lancer,Man,B,B,A,A,Q,11360,9617,Welfare,Jade,1,,,,,Jade,1,,,,,,,Jade,1,,,,,Jade,1,,,,,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Proof,12,,,,,goldLancer,4,Proof,24,,,goldLancer,10,Fang,10,,,,,Fang,20,Permafrost,5,Permafrost,15,Steel,20,GudaGuda Final Honnouji,GudaGuda Final Honnouji Re-Run,
Napoleon Bonaparte,212,https://vignette.wikia.nocookie.net/fategrandorder/images/5/56/S212Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2f/NapoleonFinalIcon.png/revision/latest?cb=20180717113333,Napoleon,5,Archer,Star,B,B,A,A,Q,13097,12033,Permanent,pieceArcher,5,,,,,pieceArcher,12,Proof,22,,,,,monumentArcher,5,Gunpowder,29,Horn,3,monumentArcher,12,Horn,6,Scarab,5,,,blueArcher,5,,,,,blueArcher,12,,,,,,,redArcher,5,,,,,redArcher,12,Gunpowder,15,,,,,goldArcher,5,Gunpowder,29,,,goldArcher,12,Proof,15,,,,,Proof,29,Chain,18,Chain,54,Permafrost,24,Interlude Campaign 11,Chaldea Boys Collection 2020,Chaldea Boys Collection 2021
Nemo,296,https://static.wikia.nocookie.net/fategrandorder/images/7/7d/S296Icon.png/,,https://static.wikia.nocookie.net/fategrandorder/images/a/ad/S296A4Icon.png,Nemo,5,Rider,Sky,B,B,A,A,Q,13680,11427,Limited,pieceRider,5,,,,,pieceRider,12,Gear,8,,,,,monumentRider,5,Seashell,10,Steel,5,monumentRider,12,Steel,10,Vein,12,,,blueRider,5,,,,,blueRider,12,,,,,,,redRider,5,,,,,redRider,12,Seashell,5,,,,,goldRider,5,Seashell,10,,,goldRider,12,Gear,5,,,,,Gear,10,Core,4,Core,11,Vein,24,Imaginary Scramble,,
Nero Claudius,5,https://vignette.wikia.nocookie.net/fategrandorder/images/b/bf/Neroicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/75/NeroFinalIcon.png/revision/latest?cb=20180212021203,Nero,4,Saber,Man,B,B,A,A,Q,11753,9449,Story-locked,pieceSaber,4,,,,,pieceSaber,10,Crystal,6,,,,,monumentSaber,4,Feather,7,Lantern,4,monumentSaber,10,Lantern,8,Gear,10,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Feather,4,,,,,goldSaber,4,Feather,7,,,goldSaber,10,Crystal,4,,,,,Crystal,8,Fang,12,Fang,36,Gear,20,17M Downloads Campaign,Holy Grail Front - Rome,Grail Live
Nero Claudius [Bride],90,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a6/Brideicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/7c/NeroClaudiusBrideFinalIcon.png/revision/latest?cb=20180211123428,Nero Bride,5,Saber,Man,B,B,A,A,Q,14248,11607,Limited,pieceSaber,5,,,,,pieceSaber,12,Crystal,8,,,,,monumentSaber,5,Lantern,10,Feather,4,monumentSaber,12,Feather,8,Seed,15,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Lantern,5,,,,,goldSaber,5,Lantern,10,,,goldSaber,12,Crystal,5,,,,,Crystal,10,Jewel,5,Jewel,15,Gear,24,17M Downloads Campaign,Akihabara Explosion,
Nero Claudius [Caster],175,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4a/NeroSummer.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e7/NeroCasterFinalIcon.png/revision/latest?cb=20180216123023,Summer Nero,5,Caster,Man,B,B,A,A,Q,13685,10857,Limited,pieceCaster,5,,,,,pieceCaster,12,Page,8,,,,,monumentCaster,5,Feather,8,Scarab,2,monumentCaster,12,Scarab,4,Wine,5,,,blueCaster,5,,,,,blueCaster,12,,,,,,,redCaster,5,,,,,redCaster,12,Feather,4,,,,,goldCaster,5,Feather,8,,,goldCaster,12,Page,5,,,,,Page,10,Seashell,6,Seashell,18,Lanugo,15,,,
Nezha,193,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f2/Icon_Servant_193.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/30/NezhaFinalIcon.png/revision/latest?cb=20180214132145,Nezha,4,Lancer,Sky,B,B,A,Q,Q,12112,9284,Permanent,pieceLancer,4,,,,,pieceLancer,10,Gear,6,,,,,monumentLancer,4,Baby,8,Claw,3,monumentLancer,10,Claw,5,Horn,6,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Baby,4,,,,,goldLancer,4,Baby,8,,,goldLancer,10,Gear,4,,,,,Gear,8,Fluid,15,Fluid,45,Magatama,20,,,
Nightingale,97,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a6/Nightingaleicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f4/NightingaleFinalIcon.png/revision/latest?cb=20180218073725,Nightingale,5,Berserker,Man,B,B,A,A,Q,15221,10184,Permanent,pieceBerserker,5,,,,,pieceBerserker,12,Feather,6,,,,,monumentBerserker,5,Seed,12,Claw,3,monumentBerserker,12,Claw,6,Baby,12,,,blueBerserker,5,,,,,blueBerserker,12,,,,,,,redBerserker,5,,,,,redBerserker,12,Seed,6,,,,,goldBerserker,5,Seed,12,,,goldBerserker,12,Feather,4,,,,,Feather,8,Tearstone,4,Tearstone,11,Lantern,24,Christmas 2019,Valentine's 2020,Christmas 2019 Re-Run
Nightingale [Santa],271,https://vignette.wikia.nocookie.net/fategrandorder/images/1/11/S271Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/bf/NightingaleSantaFinalIcon.png/,Santa Nurse,4,Archer,Man,B,A,A,Q,Q,11080,9858,Welfare,Devotion,1,,,,,Devotion,1,,,,,,,Devotion,1,,,,,Devotion,1,,,,,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Baby,4,,,,,goldArcher,4,Baby,8,,,goldArcher,10,Lamp,3,,,,,Lamp,5,Fluid,15,Fluid,45,Gunpowder,60,Christmas 2019,Christmas 2019 Re-Run,
Nikola Tesla,77,https://vignette.wikia.nocookie.net/fategrandorder/images/a/ac/Teslaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/7a/NikolaTeslaFinalIcon.png/revision/latest?cb=20180214113838,Tesla,5,Archer,Star,B,B,A,A,Q,13825,11781,Story-locked,pieceArcher,5,,,,,pieceArcher,12,Dust,15,,,,,monumentArcher,5,Page,10,Gear,5,monumentArcher,12,Gear,10,Lantern,12,,,blueArcher,5,,,,,blueArcher,12,,,,,,,redArcher,5,,,,,redArcher,12,Page,5,,,,,goldArcher,5,Page,10,,,goldArcher,12,Dust,10,,,,,Dust,20,Feather,5,Feather,15,Lantern,24,Interlude Campaign 10,Chaldea Boys Collection 2020,Chaldea Boys Collection 2021
Nitocris,120,https://vignette.wikia.nocookie.net/fategrandorder/images/1/11/Nitocrisicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d3/NitocrisFinalIcon.png/revision/latest?cb=20180216123121,Nitocris,4,Caster,Earth,B,A,A,A,Q,11288,9060,Permanent,pieceCaster,4,,,,,pieceCaster,10,Page,6,,,,,monumentCaster,4,Chain,24,Scarab,2,monumentCaster,10,Scarab,4,Lamp,6,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Chain,12,,,,,goldCaster,4,Chain,24,,,goldCaster,10,Page,4,,,,,Page,8,Heart,2,Heart,6,Bone,60,Grail Live,,
Nitocris [Assassin],177,https://vignette.wikia.nocookie.net/fategrandorder/images/0/02/NitoSummer.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/6e/NitocrisAssassinFinalIcon.png/revision/latest?cb=20180217094137,Summer Nitocris,4,Assassin,Sky,B,A,A,Q,Q,11518,8812,Limited,pieceAssassin,4,,,,,pieceAssassin,10,Lantern,6,,,,,monumentAssassin,4,Seashell,8,Feather,4,monumentAssassin,10,Feather,7,Scarab,4,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Seashell,4,,,,,goldAssassin,4,Seashell,8,,,goldAssassin,10,Lantern,4,,,,,Lantern,8,Root,2,Root,6,Lamp,12,,,
Nursery Rhyme,74,https://vignette.wikia.nocookie.net/fategrandorder/images/8/8d/Rhymeicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/41/NurseryRhymeFinalIcon.png/revision/latest?cb=20180216122916,Alice,4,Caster,Man,B,A,A,A,Q,11882,8629,Permanent,pieceCaster,4,,,,,pieceCaster,10,Seed,8,,,,,monumentCaster,4,Lantern,8,Page,4,monumentCaster,10,Page,8,Feather,8,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Lantern,4,,,,,goldCaster,4,Lantern,8,,,goldCaster,10,Seed,5,,,,,Seed,10,Baby,5,Baby,15,Feather,16,Christmas 2019,Requiem Collab Pre-Campaign,Christmas 2019 Re-Run
Oda Nobukatsu,294,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e6/S294A1Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3a/S294A4Icon.png/,Nobukatsu,1,Archer,Man,B,B,A,Q,Q,7563,5116,Limited,pieceArcher,2,,,,,pieceArcher,4,Dust,5,,,,,monumentArcher,2,Crystal,4,Magatama,2,monumentArcher,4,Magatama,4,Core,3,,,blueArcher,2,,,,,blueArcher,4,,,,,,,redArcher,2,,,,,redArcher,4,Crystal,2,,,,,goldArcher,2,Crystal,4,,,goldArcher,4,Dust,4,,,,,Dust,7,Gunpowder,6,Gunpowder,18,Arrowhead,8,GudaGuda Yamatai-koku,,
Oda Nobunaga,69,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a1/Odaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e5/OdaNobunagaFinalIcon.png/revision/latest?cb=20180214113913,Nobu,4,Archer,Man,B,B,A,A,Q,11637,9494,Welfare,Skull,1,,,,,Skull,1,,,,,,,Skull,1,,,,,Skull,1,,,,,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Bone,12,,,,,goldArcher,4,Bone,24,,,goldArcher,10,Crystal,4,,,,,Crystal,8,Claw,3,Claw,9,Heart,8,,,
Oda Nobunaga [Berserker],178,https://vignette.wikia.nocookie.net/fategrandorder/images/c/cb/NobuSummer.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/32/OdaNobunagaBerserkerFinalIcon.png/revision/latest?cb=20180218073740,Summer Nobu,4,Berserker,Man,B,B,B,A,Q,10023,10146,Limited,pieceBerserker,4,,,,,pieceBerserker,10,Fluid,18,,,,,monumentBerserker,4,Wine,4,Stinger,10,monumentBerserker,10,Stinger,20,Claw,6,,,blueBerserker,4,,,,,blueBerserker,10,,,,,,,redBerserker,4,,,,,redBerserker,10,Wine,2,,,,,goldBerserker,4,Wine,4,,,goldBerserker,10,Fluid,12,,,,,Fluid,24,Seashell,5,Seashell,15,Gallstone,8,GudaGuda Final Honnouji,GudaGuda Final Honnouji Re-Run,
Odysseus,277,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d1/S277Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/27/OdysseusFinalIcon.png,Odysseus,5,Rider,Earth,B,A,A,Q,Q,13284,11795,Permanent,pieceRider,5,,,,,pieceRider,12,Gear,8,,,,,monumentRider,5,Horseshoe,10,Feather,4,monumentRider,12,Feather,8,Scarab,5,,,blueRider,5,,,,,blueRider,12,,,,,,,redRider,5,,,,,redRider,12,Horseshoe,5,,,,,goldRider,5,Horseshoe,10,,,goldRider,12,Gear,5,,,,,Gear,10,Core,4,Core,11,Crown,24,Chaldea Boys Collection 2020,Chaldea Boys Collection 2021,
Okada Izou,210,https://vignette.wikia.nocookie.net/fategrandorder/images/1/14/Icon_S210.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2e/OkadaIzouFinalIcon.png/revision/latest?cb=20180917165037,Izou,3,Assassin,Man,B,A,A,Q,Q,8844,6879,Limited,pieceAssassin,4,,,,,pieceAssassin,8,Bone,15,,,,,monumentAssassin,4,Magatama,7,Chain,10,monumentAssassin,8,Chain,20,Wine,4,,,blueAssassin,4,,,,,blueAssassin,8,,,,,,,redAssassin,4,,,,,redAssassin,8,Magatama,4,,,,,goldAssassin,4,Magatama,7,,,goldAssassin,8,Bone,10,,,,,Bone,20,Stake,12,Stake,36,Tearstone,10,,,
Okita J Souji,267,https://cdn.discordapp.com/attachments/321290706146557952/613339132554379284/OkitaSoujiAssassinIcon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/ce/OkitaJsoujiFinalIcon.png,Summer Okita,4,Assassin,Man,B,A,Q,Q,Q,10366,9337,Limited,pieceAssassin,4,,,,,pieceAssassin,10,Grease,4,,,,,monumentAssassin,4,Seashell,8,Claw,3,monumentAssassin,10,Claw,5,Heart,4,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Seashell,4,,,,,goldAssassin,4,Seashell,8,,,goldAssassin,10,Grease,3,,,,,Grease,5,Medal,10,Medal,30,Core,12,Las Vegas Official Bout,Las Vegas Official Bout Re-Run,
Okita Souji,68,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3d/Okitaicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/78/OkitaSoujiFinalIcon.png/revision/latest?cb=20180212151813,Okita,5,Saber,Man,B,B,A,Q,Q,13225,12068,Limited,pieceSaber,5,,,,,pieceSaber,12,Dust,15,,,,,monumentSaber,5,Fang,24,Gear,5,monumentSaber,12,Gear,10,Feather,10,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Fang,12,,,,,goldSaber,5,Fang,24,,,goldSaber,12,Dust,10,,,,,Dust,20,Claw,4,Claw,11,Feather,20,Hunting Quest 9,,
Okita Souji [Alter],209,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e7/Icon_S209.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3b/OkitaSoujiAlterFinalIcon.png/revision/latest?cb=20180917164938,Okitan,5,Alter Ego,Man,B,B,A,Q,Q,12696,12465,Limited,pieceSaber,5,pieceAssassin,5,,,pieceSaber,12,pieceAssassin,12,,,,,monumentSaber,5,monumentAssassin,5,,,monumentSaber,12,monumentAssassin,12,,,,,blueSaber,5,blueAssassin,5,,,blueSaber,12,blueAssassin,12,,,,,redSaber,5,redAssassin,5,,,redSaber,12,redAssassin,12,,,,,goldSaber,5,goldAssassin,5,,,goldSaber,12,goldAssassin,12,,,,,Crystal,8,Permafrost,8,Gallstone,9,Wine,9,GudaGuda Final Honnouji Re-Run,,
Old Man of the Mountain,154,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4b/Kinghassanicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f4/KingHassanFinalIcon.png/revision/latest?cb=20180217094130,Gramps,5,Assassin,Man,B,B,B,A,Q,13338,11848,Limited,pieceAssassin,5,,,,,pieceAssassin,12,Bone,22,,,,,monumentAssassin,5,Chain,29,Gallstone,2,monumentAssassin,12,Gallstone,4,Dust,24,,,blueAssassin,5,,,,,blueAssassin,12,,,,,,,redAssassin,5,,,,,redAssassin,12,Chain,15,,,,,goldAssassin,5,Chain,29,,,goldAssassin,12,Bone,15,,,,,Bone,29,Stinger,15,Stinger,44,Lantern,24,,,
Orion,60,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e5/Orionicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/58/OrionFinalIcon.png/revision/latest?cb=20180211123451,Orion,5,Archer,Sky,B,A,A,Q,Q,14553,11107,Permanent,pieceArcher,5,,,,,pieceArcher,12,Heart,3,,,,,monumentArcher,5,Jewel,8,Claw,3,monumentArcher,12,Claw,6,Feather,10,,,blueArcher,5,,,,,blueArcher,12,,,,,,,redArcher,5,,,,,redArcher,12,Jewel,4,,,,,goldArcher,5,Jewel,8,,,goldArcher,12,Heart,2,,,,,Heart,4,Dust,12,Dust,36,Feather,20,Valentine's 2020,Valentine's 2021,
Osakabehime,189,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d0/Icon_Servant_189.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/28/OsakabeHimeFinalIcon.png/revision/latest?cb=20180217094144,Osakabehime,5,Assassin,Earth,B,A,A,Q,Q,13822,10824,Permanent,pieceAssassin,5,,,,,pieceAssassin,12,Seed,9,,,,,monumentAssassin,5,Dust,20,Page,5,monumentAssassin,12,Page,10,Root,5,,,blueAssassin,5,,,,,blueAssassin,12,,,,,,,redAssassin,5,,,,,redAssassin,12,Dust,10,,,,,goldAssassin,5,Dust,20,,,goldAssassin,12,Seed,6,,,,,Seed,12,Wine,3,Wine,8,Magatama,24,Amazoness.com CEO Crisis 2020,Valentine's 2020,Requiem Collab Pre-Campaign
Osakabehime [Archer],262,https://vignette.wikia.nocookie.net/fategrandorder/images/6/63/S262Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/38/OsakabeHimeArcherFinalIcon.png,Summer Hime,4,Archer,Earth,B,B,A,A,Q,12476,8895,Limited,pieceArcher,4,,,,,pieceArcher,10,Dust,12,,,,,monumentArcher,4,Gunpowder,24,Seashell,4,monumentArcher,10,Seashell,8,Gear,10,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Gunpowder,12,,,,,goldArcher,4,Gunpowder,24,,,goldArcher,10,Dust,8,,,,,Dust,16,Core,3,Core,9,Arrowhead,20,Las Vegas Official Bout,Las Vegas Official Bout Re-Run,
Ozymandias,118,https://vignette.wikia.nocookie.net/fategrandorder/images/4/43/Ozymandiasicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2c/OzymandiasFinalIcon.png/revision/latest?cb=20180211123932,Ozymandias,5,Rider,Sky,B,B,A,A,Q,12830,11971,Permanent,pieceRider,5,,,,,pieceRider,12,Chain,22,,,,,monumentRider,5,Jewel,8,Heart,2,monumentRider,12,Heart,4,Scarab,5,,,blueRider,5,,,,,blueRider,12,,,,,,,redRider,5,,,,,redRider,12,Jewel,4,,,,,goldRider,5,Jewel,8,,,goldRider,12,Chain,15,,,,,Chain,29,Page,6,Page,18,Lamp,15,Chaldea Boys Collection 2020,Chaldea Boys Collection 2021,
Paracelsus Von Hohenheim,79,https://vignette.wikia.nocookie.net/fategrandorder/images/0/0a/Paracelsusicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/f/fa/ParacelsusFinalIcon.png/revision/latest?cb=20180216122842,Paracelsus,3,Caster,Man,B,A,A,A,Q,9506,6711,Permanent,pieceCaster,4,,,,,pieceCaster,8,Page,5,,,,,monumentCaster,4,Gear,7,Baby,4,monumentCaster,8,Baby,7,Bone,24,,,blueCaster,4,,,,,blueCaster,8,,,,,,,redCaster,4,,,,,redCaster,8,Gear,4,,,,,goldCaster,4,Gear,7,,,goldCaster,8,Page,4,,,,,Page,7,Dust,8,Dust,24,Bone,48,,,
Paris,255,https://vignette.wikia.nocookie.net/fategrandorder/images/1/12/S255Icon.png/revision/latest?cb=20190804164230,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/51/ParisFinalIcon.png/revision/latest?cb=20190804164622,Paris,2,Archer,Earth,B,A,A,Q,Q,7834,6523,Permanent,pieceArcher,3,,,,,pieceArcher,6,Seed,5,,,,,monumentArcher,3,Stinger,12,Claw,2,monumentArcher,6,Claw,3,Root,3,,,blueArcher,3,,,,,blueArcher,6,,,,,,,redArcher,3,,,,,redArcher,6,Stinger,6,,,,,goldArcher,3,Stinger,12,,,goldArcher,6,Seed,3,,,,,Seed,6,Lanugo,2,Lanugo,6,Arrowhead,12,,,
Parvati,183,https://vignette.wikia.nocookie.net/fategrandorder/images/4/46/Icon_Servant_183.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/80/ParvatiFinalIcon.png/revision/latest?cb=20180212021210,Parvati,4,Lancer,Sky,B,B,A,Q,Q,13253,8127,Permanent,pieceLancer,4,,,,,pieceLancer,10,Jewel,5,,,,,monumentLancer,4,Horn,5,Lamp,3,monumentLancer,10,Lamp,5,Wine,4,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Horn,3,,,,,goldLancer,4,Horn,5,,,goldLancer,10,Jewel,4,,,,,Jewel,7,Scarab,2,Scarab,6,Heart,8,Interlude Campaign 10,Christmas 2020,
Passionlip,164,https://vignette.wikia.nocookie.net/fategrandorder/images/c/cd/PassionLipIcon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d6/PassionlipFinalIcon.png/revision/latest?cb=20180219123918,Passionlip,4,Alter Ego,Earth,B,B,B,A,Q,10901,10299,Limited,pieceArcher,5,pieceBerserker,5,,,pieceArcher,12,pieceBerserker,12,,,,,monumentArcher,5,monumentBerserker,5,,,monumentArcher,12,monumentBerserker,12,,,,,blueArcher,5,blueBerserker,5,,,blueArcher,12,blueBerserker,12,,,,,redArcher,5,redBerserker,5,,,redArcher,10,redBerserker,10,,,,,goldArcher,4,goldBerserker,4,,,goldArcher,10,goldBerserker,10,,,,,Tearstone,4,Claw,4,Root,7,Gallstone,7,Main Interlude: SE.RA.PH,,
Paul Bunyan,174,https://vignette.wikia.nocookie.net/fategrandorder/images/e/ed/PaulBunyanicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d3/PaulBunyanFinalIcon.png/revision/latest?cb=20180218073632,Bunyan,1,Berserker,Earth,B,B,B,A,Q,6196,6044,Welfare,pieceBerserker,2,,,,,pieceBerserker,4,Seed,3,,,,,monumentBerserker,2,Crystal,4,Root,1,monumentBerserker,4,Root,2,Dust,8,,,blueBerserker,2,,,,,blueBerserker,4,,,,,,,redBerserker,2,,,,,redBerserker,4,Crystal,2,,,,,goldBerserker,2,Crystal,4,,,goldBerserker,4,Seed,2,,,,,Seed,4,Chain,6,Chain,18,Baby,8,5th Anniversary,,
